id,quality
0,5
1,9
2,3
3,4
4,7
5,7
6,4
7,3
8,6
9,3
10,4
11,7
12,9
13,4
14,6
15,4
16,6
17,3
18,3
19,4
20,5
21,4
22,3
23,3
24,4
25,4
26,9
27,6
28,9
29,6
30,3
31,9
32,5
33,5
34,9
35,8
36,7
37,9
38,4
39,5
40,6
41,7
42,3
43,8
44,8
45,4
46,9
47,3
48,7
49,6
50,3
51,9
52,3
53,3
54,4
55,5
56,9
57,7
58,4
59,4
60,7
61,7
62,8
63,8
64,5
65,9
66,7
67,3
68,7
69,5
70,8
71,3
72,6
73,4
74,5
75,9
76,7
77,9
78,7
79,8
80,7
81,3
82,4
83,3
84,4
85,7
86,4
87,3
88,4
89,6
90,5
91,9
92,5
93,5
94,3
95,6
96,5
97,7
98,6
99,9
100,8
101,7
102,5
103,9
104,3
105,6
106,5
107,7
108,7
109,9
110,5
111,4
112,5
113,4
114,6
115,4
116,5
117,5
118,4
119,6
120,6
121,4
122,5
123,5
124,4
125,4
126,8
127,4
128,6
129,9
130,3
131,9
132,8
133,9
134,6
135,7
136,9
137,7
138,9
139,7
140,4
141,7
142,9
143,7
144,5
145,5
146,9
147,3
148,9
149,8
150,6
151,8
152,4
153,3
154,8
155,9
156,5
157,8
158,5
159,3
160,8
161,6
162,9
163,8
164,7
165,3
166,4
167,7
168,8
169,8
170,9
171,9
172,9
173,4
174,7
175,9
176,8
177,8
178,9
179,3
180,6
181,7
182,5
183,7
184,7
185,5
186,8
187,3
188,9
189,3
190,9
191,4
192,8
193,3
194,4
195,4
196,8
197,7
198,6
199,4
200,6
201,3
202,4
203,3
204,9
205,4
206,5
207,6
208,7
209,4
210,5
211,5
212,3
213,4
214,5
215,3
216,9
217,9
218,3
219,3
220,6
221,4
222,7
223,3
224,9
225,6
226,7
227,5
228,7
229,8
230,9
231,3
232,8
233,9
234,5
235,3
236,9
237,3
238,7
239,6
240,4
241,8
242,5
243,5
244,6
245,7
246,5
247,7
248,4
249,4
250,9
251,7
252,7
253,6
254,8
255,3
256,7
257,8
258,8
259,8
260,5
261,8
262,5
263,4
264,6
265,9
266,6
267,6
268,4
269,6
270,6
271,9
272,9
273,3
274,7
275,4
276,4
277,4
278,7
279,3
280,6
281,8
282,3
283,3
284,9
285,5
286,6
287,8
288,4
289,7
290,5
291,7
292,6
293,5
294,4
295,6
296,8
297,4
298,6
299,6
300,6
301,9
302,9
303,9
304,7
305,4
306,5
307,3
308,6
309,7
310,7
311,6
312,9
313,5
314,6
315,4
316,5
317,3
318,9
319,4
320,9
321,3
322,4
323,9
324,8
325,6
326,7
327,9
328,6
329,5
330,7
331,7
332,4
333,5
334,3
335,6
336,4
337,7
338,5
339,9
340,9
341,7
342,7
343,4
344,8
345,6
346,8
347,9
348,9
349,7
350,7
351,7
352,4
353,9
354,7
355,4
356,5
357,4
358,6
359,8
360,3
361,3
362,5
363,6
364,3
365,5
366,4
367,9
368,9
369,4
370,4
371,7
372,6
373,3
374,6
375,6
376,3
377,9
378,6
379,9
380,9
381,6
382,5
383,8
384,7
385,8
386,9
387,3
388,5
389,7
390,3
391,9
392,8
393,9
394,8
395,3
396,4
397,8
398,3
399,8
400,4
401,6
402,6
403,9
404,9
405,8
406,5
407,9
408,9
409,8
410,3
411,3
412,5
413,8
414,5
415,4
416,9
417,5
418,6
419,6
420,3
421,6
422,3
423,9
424,7
425,5
426,5
427,3
428,8
429,8
430,9
431,6
432,8
433,5
434,3
435,3
436,9
437,4
438,3
439,3
440,8
441,6
442,8
443,4
444,6
445,3
446,5
447,3
448,8
449,6
450,4
451,4
452,9
453,3
454,6
455,3
456,4
457,8
458,3
459,4
460,6
461,5
462,8
463,7
464,3
465,9
466,7
467,8
468,6
469,5
470,8
471,8
472,8
473,9
474,5
475,7
476,8
477,9
478,6
479,9
480,6
481,5
482,5
483,5
484,9
485,3
486,8
487,3
488,7
489,6
490,6
491,3
492,3
493,7
494,8
495,5
496,6
497,8
498,9
499,6
500,3
501,4
502,5
503,6
504,4
505,9
506,6
507,4
508,6
509,8
510,4
511,3
512,5
513,6
514,9
515,5
516,4
517,7
518,6
519,7
520,8
521,9
522,9
523,4
524,6
525,9
526,9
527,9
528,9
529,3
530,7
531,9
532,4
533,5
534,3
535,7
536,6
537,4
538,7
539,6
540,6
541,3
542,3
543,9
544,3
545,9
546,4
547,3
548,8
549,5
550,8
551,5
552,6
553,8
554,7
555,6
556,5
